r1,r2,support,weight_log1p
P10176,P1889,4,1.609438
P10176,P2975,2,1.098612
P10176,P166,4,1.609438
P10176,P462,2,1.098612
P10176,P1552,4,1.609438
P10176,P12765,2,1.098612
P10176,P138,2,1.098612
P10176,P12763,2,1.098612
P10176,P910,35,3.583519
P10176,P5588,5,1.791759
P10176,P6104,45,3.828641
P10176,P9566,8,2.197225
P10176,P9714,10,2.397895
P10176,P5841,7,2.079442
P102,P17,11527,9.352534
P102,P6,12,2.564949
P102,P527,343,5.840642
P102,P793,88,4.488636
P102,P1071,2,1.098612
P1011,P155,14,2.708050
P1011,P1343,13,2.639057
P1011,P1365,2,1.098612
P1011,P1424,3,1.386294
P1011,P1552,4,1.609438
P1011,P129,26,3.295837
P1011,P137,16,2.833213
P1011,P1269,19,2.995732
P1011,P1382,20,3.044522
P1011,P1542,16,2.833213
P1011,P121,6,1.945910
P1011,P136,3,1.386294
P1011,P138,5,1.791759
P1011,P140,21,3.091042
P1011,P144,4,1.609438
P1011,P1427,2,1.098612
P1011,P1441,2,1.098612
P1011,P1444,2,1.098612
P1011,P17,2,1.098612
P1011,P2596,5,1.791759
P1011,P279,34,3.555348
P1011,P1889,28,3.367296
P1011,P2283,2,1.098612
P1011,P156,6,1.945910
P1011,P179,5,1.791759
P1011,P180,3,1.386294
P1011,P186,2,1.098612
P1011,P276,6,1.945910
P1011,P2789,22,3.135494
P1011,P31,39,3.688879
P1011,P37,3,1.386294
P1011,P361,23,3.178054
P1011,P5008,4,1.609438
P1011,P6104,20,3.044522
P1011,P460,13,2.639057
P1011,P461,9,2.302585
P1011,P57,2,1.098612
P1011,P366,6,1.945910
P1011,P407,5,1.791759
P1011,P527,13,2.639057
P1011,P547,4,1.609438
P1011,P425,8,2.197225
P1011,P559,2,1.098612
P1011,P910,10,2.397895
P1011,P921,12,2.564949
P1011,P828,5,1.791759
P1011,P924,3,1.386294
P10241,P31,1447,7.277939
P10241,P225,1384,7.233455
P10241,P105,1383,7.232733
P10241,P171,1286,7.160069
P10241,P18,1083,6.988413
P10241,P846,1075,6.981006
P10241,P373,1027,6.935370
P10241,P646,956,6.863803
P10241,P3151,946,6.853299
P10241,P9157,938,6.844815
P10241,P10585,932,6.838405
P10241,P1843,895,6.797940
P10241,P685,891,6.793466
P10241,P815,840,6.734592
P10241,P830,821,6.711740
P10241,P910,819,6.709304
P10241,P1813,799,6.684612
P10241,P935,758,6.632002
P10241,P5055,756,6.629363
P10241,P3031,695,6.545350
P10241,P2892,652,6.481577
P10241,P13591,647,6.473891
P10241,P141,625,6.439350
P10241,P627,624,6.437752
P10241,P12554,602,6.401917
P10241,P1417,596,6.391917
P10241,P5037,577,6.359574
P10241,P961,571,6.349139
P10241,P7715,561,6.331502
P10241,P1421,551,6.313548
P10241,P6105,546,6.304449
P10241,P960,537,6.287859
P10241,P1343,532,6.278521
P10241,P6366,509,6.234411
P10241,P6104,496,6.208590
P10241,P3606,493,6.202536
P10241,P2752,478,6.171701
P10241,P8189,474,6.163315
P10241,P3186,464,6.142037
P10241,P181,449,6.109248
P10241,P1070,443,6.095825
P10241,P4342,440,6.089045
P10241,P3240,433,6.073045
P10241,P1772,418,6.037871
P10241,P6864,394,5.978886
P10241,P842,390,5.968708
P10241,P3105,386,5.958425
P10241,P8707,376,5.932245
P10241,P838,373,5.924256
P10241,P12292,364,5.899897
P10228,P31,19,2.995732
P10228,P138,4,1.609438
P10228,P279,22,3.135494
P10228,P361,19,2.995732
P10228,P1343,14,2.708050
P10228,P1889,12,2.564949
P10228,P1424,4,1.609438
P10228,P1542,2,1.098612
P10228,P1552,5,1.791759
P10228,P2579,3,1.386294
P10228,P2868,10,2.397895
P10228,P2959,2,1.098612
P10228,P186,3,1.386294
P10228,P1535,2,1.098612
P10228,P1582,2,1.098612
P10228,P155,2,1.098612
P10228,P3364,4,1.609438
P10228,P2175,3,1.386294
P10228,P129,3,1.386294
P10228,P366,7,2.079442
P10228,P460,4,1.609438
P10228,P462,2,1.098612
P10228,P527,9,2.302585
P10228,P703,11,2.484907
P10228,P910,15,2.772589
P10228,P4147,3,1.386294
P10228,P4952,3,1.386294
P10228,P5008,8,2.197225
P10228,P6104,2,1.098612
P10228,P61,4,1.609438
P10228,P702,3,1.386294
P10228,P769,2,1.098612
P10228,P6185,3,1.386294
P1026,P31,74,4.317488
P1026,P646,35,3.583519
P1026,P50,31,3.465736
P1026,P373,30,3.433987
P1026,P910,29,3.401197
P1026,P18,27,3.332205
P1026,P279,27,3.332205
P1026,P691,26,3.295837
P1026,P1476,26,3.295837
P1026,P227,25,3.258097
P1026,P244,25,3.258097
P1026,P1889,25,3.258097
P1026,P13591,25,3.258097
P1026,P577,25,3.258097
P1026,P3417,24,3.218876
P1026,P407,24,3.218876
P1026,P8189,22,3.135494
P1026,P5008,21,3.091042
P1026,P268,20,3.044522
P1026,P6366,18,2.944439
P1026,P10283,18,2.944439
P1026,P571,17,2.890372
P1026,P1343,17,2.890372
P1026,P1417,17,2.890372
P1026,P2581,17,2.890372
P1026,P8168,17,2.890372
P1026,P2347,15,2.772589
P1026,P527,14,2.708050
P1026,P3916,14,2.708050
P1026,P2671,14,2.708050
P1026,P8313,13,2.639057
P1026,P8408,13,2.639057
P1026,P12086,13,2.639057
P1026,P17,13,2.639057
P1026,P214,13,2.639057
P1026,P361,13,2.639057
P1026,P950,12,2.564949
P1026,P3553,12,2.564949
P1026,P3827,12,2.564949
P1026,P291,12,2.564949
P1026,P508,11,2.484907
P1026,P1014,11,2.484907
P1026,P1036,11,2.484907
P1026,P1368,11,2.484907
P1026,P3219,11,2.484907
P1026,P4342,11,2.484907
P1026,P12800,11,2.484907
P1026,P136,11,2.484907
P1026,P213,11,2.484907
P1026,P123,11,2.484907
P1027,P1269,83,4.430817
P1027,P1343,1478,7.299121
P1027,P17,10094,9.219796
P1027,P206,297,5.697093
P1027,P208,109,4.700480
P1027,P209,57,4.060443
P1027,P237,313,5.749393
P1027,P1151,221,5.402677
P1027,P1304,38,3.663562
P1027,P1313,363,5.897154
P1027,P1299,48,3.891820
P1027,P241,33,3.526361
P1027,P1196,68,4.234107
P1027,P1142,123,4.820282
P1027,P1340,19,2.995732
P1027,P210,6,1.945910
P1027,P1290,24,3.218876
P1027,P1327,7,2.079442
P1027,P1072,2,1.098612
P1027,P1268,10,2.397895
P1027,P1075,251,5.529429
P1027,P199,41,3.737670
P1027,P1336,7,2.079442
P1027,P1283,4,1.609438
P1027,P1308,222,5.407172
P1027,P1303,13,2.639057
P1027,P1080,6,1.945910
P1027,P527,1350,7.208600
P1027,P6,571,6.349139
P1027,P793,376,5.932245
P1027,P807,36,3.610918
P1027,P797,115,4.753590
P1027,P800,123,4.820282
P1027,P276,857,6.754604
P1027,P272,10,2.397895
P1027,P275,15,2.772589
P1027,P263,146,4.990433
P1027,P264,10,2.397895
P1027,P802,5,1.791759
P1027,P812,3,1.386294
P1027,P805,2,1.098612
P101,P527,4830,8.482809
P101,P524,6,1.945910
P101,P790,2,1.098612
P101,P1071,104,4.653960
P10280,P31,1267,7.145196
P10280,P971,1260,7.139660
P10280,P4224,738,6.605298
P10280,P1753,165,5.111988
P10280,P301,357,5.880533
P10280,P1889,6,1.945910
P10280,P2354,4,1.609438
P10280,P4329,2,1.098612
P1029,P31,1948,7.575072
P1029,P21,1883,7.541152
P1029,P106,1723,7.452402
P1029,P735,1544,7.342779
P1029,P27,1423,7.261225
P1029,P734,1337,7.198931
P1029,P569,1269,7.146772
P1029,P19,1267,7.145196
P1029,P5096,1224,7.110696
P1029,P373,1105,7.008505
P1029,P18,1079,6.984716
P1029,P646,1033,6.941190
P1029,P69,840,6.734592
P1029,P1412,823,6.714171
P1029,P166,765,6.641182
P1029,P410,720,6.580639
P1029,P450,645,6.470800
P1029,P2873,631,6.448889
P1029,P570,580,6.364751
P1029,P1559,573,6.352629
P1029,P214,536,6.285998
P1029,P241,532,6.278521
P1029,P108,514,6.244167
P1029,P20,510,6.236370
P1029,P3368,478,6.171701
P1029,P244,403,6.001415
P1029,P361,385,5.955837
P1029,P6262,383,5.950643
P1029,P10832,373,5.924256
P1029,P1080,372,5.921578
P1029,P1441,372,5.921578
P1029,P213,352,5.866468
P1029,P2030,351,5.863631
P1029,P227,342,5.837730
P1029,P463,340,5.831882
P1029,P1343,334,5.814131
P1029,P2949,324,5.783825
P1029,P10297,308,5.733341
P1029,P607,294,5.686975
P1029,P2671,286,5.659482
P1029,P8345,275,5.620401
P1029,P1741,248,5.517453
P1029,P13591,246,5.509388
P1029,P551,244,5.501258
P1029,P2163,242,5.493061
P1029,P119,236,5.468060
P1029,P2002,226,5.424950
P1029,P535,221,5.402677
P1029,P945,220,5.398163
P1029,P1196,218,5.389072
P1018,P131,55,4.025352
P1018,P1343,13,2.639057
P1018,P1365,16,2.833213
P1018,P1424,3,1.386294
P1018,P101,36,3.610918
P1018,P112,22,3.135494
P1018,P1454,22,3.135494
P1018,P1269,16,2.833213
P1018,P1037,8,2.197225
P1018,P13044,19,2.995732
P1018,P1001,13,2.639057
P1018,P138,11,2.484907
P1018,P1435,3,1.386294
P1018,P1142,2,1.098612
P1018,P121,2,1.098612
P1018,P1416,2,1.098612
P1018,P1366,2,1.098612
P1018,P17,144,4.976734
P1018,P159,102,4.634729
P1018,P2670,2,1.098612
P1018,P1830,5,1.791759
P1018,P1889,8,2.197225
P1018,P2813,2,1.098612
P1018,P276,9,2.302585
P1018,P166,14,2.708050
P1018,P155,2,1.098612
P1018,P2388,16,2.833213
P1018,P6,3,1.386294
P1018,P31,173,5.159055
P1018,P361,12,2.564949
P1018,P2936,13,2.639057
P1018,P37,28,3.367296
P1018,P463,27,3.332205
P1018,P488,31,3.465736
P1018,P452,16,2.833213
