r1,r2,support,weight_log1p
P12763,P6754,3444,8.144679
P12763,P566,3430,8.140607
P12763,P3186,3415,8.136226
P12763,P6507,3252,8.087333
P12763,P910,3082,8.033658
P12763,P8707,2885,7.967627
P12763,P838,2661,7.886833
P12763,P1070,2661,7.886833
P12763,P12292,2641,7.879291
P12763,P9714,2576,7.854381
P12763,P3240,2530,7.836370
P12763,P6366,2488,7.819636
P12763,P627,2286,7.734996
P12763,P141,2285,7.734559
P12763,P6105,2259,7.723120
P12763,P13591,2248,7.718241
P12763,P1939,2162,7.679251
P12763,P6039,2149,7.673223
P12763,P3031,2063,7.632401
P12763,P1421,1816,7.504942
P12763,P3405,1771,7.479864
P12763,P6018,1600,7.378384
P12765,P31,32872,10.400407
P12765,P105,32870,10.400346
P12765,P225,32868,10.400285
P12765,P171,32860,10.400042
P12765,P1403,32847,10.399646
P12765,P846,30599,10.328755
P12765,P10585,23313,10.056809
P12765,P1813,23025,10.044379
P12765,P9157,20461,9.926325
P12765,P3151,19657,9.886240
P12765,P5055,16554,9.714443
P12765,P815,15994,9.680031
P12765,P685,14085,9.552937
P12765,P18,14016,9.548026
P12765,P373,13399,9.503010
P12765,P646,13137,9.483264
P12765,P2892,12699,9.449357
P12765,P1843,10999,9.305651
P12765,P830,10982,9.304104
P12765,P141,10770,9.284613
P12765,P627,10763,9.283963
P12765,P850,10613,9.269929
P12765,P6105,8285,9.022323
P12765,P3606,8030,8.991064
P12765,P2671,7996,8.986822
P12765,P1420,6344,8.755422
P12765,P3186,5810,8.667508
P12765,P2426,5512,8.614864
P12765,P6754,5423,8.598589
P12765,P838,5046,8.526549
P12765,P8707,4951,8.507547
P12765,P4024,4897,8.496582
P12765,P13591,4518,8.416046
P12765,P9714,3652,8.203304
P12765,P12554,3629,8.196988
P12765,P5257,3423,8.138565
P12765,P3444,3378,8.125335
P12765,P181,3371,8.123261
P12765,P2026,3343,8.114923
P12765,P6025,3242,8.084254
P12765,P6507,3021,8.013674
P12765,P6177,2974,7.997999
P12765,P4342,2948,7.989221
P12765,P6018,2943,7.987524
P12765,P935,2810,7.941296
P12765,P4807,2570,7.852050
P12765,P6039,2521,7.832808
P12765,P6366,2407,7.786552
P12765,P3240,2391,7.779885
P12765,P10243,2377,7.774015
P12764,P105,1340,7.201171
P12764,P171,1339,7.200425
P12764,P1343,52,3.970292
P12764,P141,70,4.262680
P12764,P1420,215,5.375278
P12764,P1542,4,1.609438
P12764,P138,34,3.555348
P12764,P1672,10,2.397895
P12764,P1403,17,2.890372
P12764,P1889,17,2.890372
P12764,P13177,58,4.077537
P12764,P12763,59,4.094345
P12764,P12766,87,4.477337
P12764,P183,13,2.639057
P12764,P166,2,1.098612
P12764,P10906,4,1.609438
P12764,P12765,21,3.091042
P12764,P13478,2,1.098612
P12764,P12764,9,2.302585
P12764,P31,1343,7.203406
P12764,P427,88,4.488636
P12764,P4000,15,2.772589
P12764,P6104,28,3.367296
P12764,P694,619,6.429719
P12764,P2597,14,2.708050
P12764,P2868,22,3.135494
P12764,P279,13,2.639057
P12764,P2974,2,1.098612
P12764,P3648,15,2.772589
P12764,P566,98,4.595120
P12764,P5841,9,2.302585
P12764,P366,15,2.772589
P12764,P2827,2,1.098612
P12764,P5588,3,1.386294
P12764,P7603,8,2.197225
P12764,P460,45,3.828641
P12764,P783,8,2.197225
P12764,P784,5,1.791759
P12764,P785,8,2.197225
P12764,P786,4,1.609438
P12764,P5304,4,1.609438
P12764,P2743,8,2.197225
P12764,P2975,4,1.609438
P12764,P2959,3,1.386294
P12764,P5008,3,1.386294
P12764,P4628,6,1.945910
P12764,P910,280,5.638355
P12764,P9714,43,3.784190
P12764,P9566,36,3.610918
P12764,P9888,10,2.397895
P12764,P787,4,1.609438
P12764,P788,8,2.197225
P12764,P789,5,1.791759
P12764,P8193,3,1.386294
P12795,P19,55,4.025352
P12795,P21,87,4.477337
P12795,P22,7,2.079442
P12795,P25,4,1.609438
P12795,P27,70,4.262680
P12795,P31,89,4.499810
P12795,P103,10,2.397895
P12795,P106,89,4.499810
P12795,P1343,9,2.302585
P12795,P1411,12,2.564949
P12795,P1412,44,3.806662
P12795,P3373,7,2.079442
P12795,P26,5,1.791759
P12795,P101,17,2.890372
P12795,P166,22,3.135494
P12795,P136,3,1.386294
P12795,P140,2,1.098612
P12795,P1889,5,1.791759
P12795,P108,3,1.386294
P12795,P734,67,4.219508
P12795,P735,78,4.369448
P12795,P69,45,3.828641
P12795,P463,15,2.772589
P12795,P800,16,2.833213
P12795,P7084,10,2.397895
P12795,P6886,11,2.484907
P12795,P937,2,1.098612
P12795,P5008,3,1.386294
P12795,P7763,6,1.945910
P12795,P551,6,1.945910
P12795,P6379,2,1.098612
P12795,P91,3,1.386294
P12830,P31,12,2.564949
P12830,P279,13,2.639057
P12830,P1343,12,2.564949
P12830,P1889,2,1.098612
P12694,P122,4,1.609438
P12694,P1151,4,1.609438
P12694,P1304,3,1.386294
P12694,P1313,6,1.945910
P12694,P1343,14,2.708050
P12694,P1344,3,1.386294
P12694,P1365,8,2.197225
P12694,P10280,4,1.609438
P12694,P12443,2,1.098612
P12694,P13574,3,1.386294
P12694,P112,3,1.386294
P12694,P131,4,1.609438
P12694,P1299,3,1.386294
P12694,P1001,3,1.386294
P12694,P1269,2,1.098612
P12694,P1056,4,1.609438
P12694,P12693,4,1.609438
P12694,P12694,4,1.609438
P12694,P138,6,1.945910
P12694,P150,5,1.791759
P12694,P155,3,1.386294
P12694,P163,4,1.609438
P12694,P166,5,1.791759
P12694,P1424,8,2.197225
P12694,P1464,5,1.791759
P12694,P1465,5,1.791759
P12694,P1552,5,1.791759
P12694,P1589,4,1.609438
P12694,P1622,3,1.386294
P12694,P1441,2,1.098612
P12694,P1546,3,1.386294
P12694,P1382,3,1.386294
P12694,P159,2,1.098612
P12694,P1454,2,1.098612
P12694,P17,12,2.564949
P12694,P172,2,1.098612
P12694,P194,5,1.791759
P12694,P206,3,1.386294
P12694,P208,3,1.386294
P12694,P209,3,1.386294
P12694,P237,5,1.791759
P12694,P1740,4,1.609438
P12694,P1791,5,1.791759
P12694,P1792,4,1.609438
P12694,P1830,5,1.791759
P12694,P1889,15,2.772589
P12694,P1906,4,1.609438
P12694,P2184,5,1.791759
P12694,P2354,2,1.098612
P12694,P170,2,1.098612
P12694,P2283,3,1.386294
P12694,P186,2,1.098612
P12694,P30,5,1.791759
P12694,P31,25,3.258097
P12694,P35,4,1.609438
P12694,P2579,3,1.386294
P12694,P2596,3,1.386294
P12694,P2633,3,1.386294
P12694,P2670,3,1.386294
P12694,P2852,3,1.386294
P12694,P2853,3,1.386294
P12694,P2936,5,1.791759
P12694,P2959,7,2.079442
P12694,P279,21,3.091042
P12694,P276,3,1.386294
P12694,P355,2,1.098612
P12694,P36,4,1.609438
P12694,P37,4,1.609438
P12694,P38,4,1.609438
P12694,P47,5,1.791759
P12694,P361,7,2.079442
P12694,P421,5,1.791759
P12694,P457,2,1.098612
P12694,P460,5,1.791759
P12694,P463,8,2.197225
P12694,P5008,11,2.484907
P12694,P366,5,1.791759
P12694,P461,3,1.386294
P12694,P452,5,1.791759
P12694,P6,6,1.945910
P12694,P78,3,1.386294
P12694,P530,3,1.386294
P12694,P793,5,1.791759
P12694,P832,3,1.386294
P12694,P6104,4,1.609438
P12694,P7867,5,1.791759
P12694,P8324,2,1.098612
P12694,P8402,4,1.609438
P12694,P610,4,1.609438
P12694,P5125,4,1.609438
P12694,P6379,2,1.098612
P12694,P7084,2,1.098612
P12694,P527,6,1.945910
P12694,P669,2,1.098612
P12694,P5658,3,1.386294
P12694,P641,2,1.098612
P12694,P910,23,3.178054
P12694,P92,6,1.945910
P12694,P85,4,1.609438
P12694,P8744,4,1.609438
P12694,P9241,4,1.609438
P12876,P31,7,2.079442
P12876,P279,2,1.098612
P12876,P2283,4,1.609438
P12693,P122,8,2.197225
P12693,P138,8,2.197225
P12693,P1151,18,2.944439
P12693,P1304,5,1.791759
P12693,P1313,8,2.197225
P12693,P1343,38,3.663562
P12693,P1344,4,1.609438
P12693,P13574,3,1.386294
P12693,P1365,14,2.708050
P12693,P1018,22,3.135494
P12693,P13986,7,2.079442
P12693,P131,4,1.609438
P12693,P1366,5,1.791759
P12693,P1269,3,1.386294
P12693,P1056,5,1.791759
P12693,P12693,4,1.609438
P12693,P12694,4,1.609438
P12693,P112,2,1.098612
P12693,P1001,2,1.098612
P12693,P1382,2,1.098612
P12693,P150,6,1.945910
P12693,P163,9,2.302585
P12693,P1464,9,2.302585
P12693,P1465,8,2.197225
P12693,P1552,13,2.639057
P12693,P1589,5,1.791759
P12693,P1622,5,1.791759
P12693,P1740,5,1.791759
P12693,P1791,5,1.791759
P12693,P1792,9,2.302585
P12693,P1830,3,1.386294
P12693,P1889,32,3.496508
P12693,P1906,7,2.079442
P12693,P17,45,3.828641
P12693,P155,10,2.397895
P12693,P1424,30,3.433987
P12693,P172,4,1.609438
P12693,P159,2,1.098612
P12693,P156,4,1.609438
P12693,P166,2,1.098612
P12693,P30,9,2.302585
P12693,P194,7,2.079442
P12693,P206,4,1.609438
P12693,P208,4,1.609438
P12693,P209,4,1.609438
P12693,P237,9,2.302585
P12693,P2184,23,3.178054
P12693,P2579,26,3.295837
P12693,P2596,5,1.791759
P12693,P2633,4,1.609438
P12693,P2852,5,1.791759
P12693,P2853,4,1.609438
P12693,P2936,9,2.302585
P12693,P2959,21,3.091042
P12693,P279,47,3.871201
P12693,P282,33,3.526361
P12693,P1999,20,3.044522
P12693,P2341,30,3.433987
P12693,P2989,19,2.995732
P12693,P2587,3,1.386294
P12693,P2283,3,1.386294
P12693,P3095,3,1.386294
P12693,P3075,2,1.098612
P12693,P276,3,1.386294
P12693,P2354,2,1.098612
P12693,P2389,2,1.098612
P12693,P31,56,4.043051
P12693,P35,6,1.945910
P12693,P36,8,2.197225
P12693,P37,9,2.302585
P12693,P38,8,2.197225
P12693,P47,9,2.302585
P12693,P361,10,2.397895
P12693,P421,6,1.945910
P12693,P463,9,2.302585
P12693,P3403,2,1.098612
P12693,P3103,22,3.135494
P12693,P3161,16,2.833213
P12693,P3823,24,3.218876
P12693,P4132,30,3.433987
P12693,P460,10,2.397895
P12693,P3969,2,1.098612
P12693,P461,3,1.386294
P12693,P3842,2,1.098612
P12693,P4913,2,1.098612
P12693,P452,4,1.609438
P12693,P366,4,1.609438
P12693,P6,8,2.197225
P12693,P78,5,1.791759
P12693,P527,18,2.944439
P12693,P530,6,1.945910
P12693,P610,5,1.791759
P12693,P706,5,1.791759
P12693,P832,3,1.386294
P12693,P5008,33,3.526361
P12693,P5125,5,1.791759
P12693,P5658,3,1.386294
P12693,P6104,17,2.890372
P12693,P7867,6,1.945910
P12693,P5996,27,3.332205
P12693,P7084,28,3.367296
P12693,P793,5,1.791759
P12693,P5109,18,2.944439
P12693,P5110,8,2.197225
P12693,P5206,7,2.079442
P12693,P5913,5,1.791759
P12693,P6106,7,2.079442
P12693,P641,2,1.098612
P12693,P749,2,1.098612
P12693,P85,8,2.197225
P12693,P910,57,4.060443
P12693,P8402,4,1.609438
P12693,P8744,7,2.079442
P12693,P9241,8,2.197225
P12693,P92,5,1.791759
P1283,P17,13,2.639057
P1283,P112,2,1.098612
P1283,P1424,5,1.791759
P1283,P1889,4,1.609438
P1283,P136,56,4.043051
P1283,P161,29,3.401197
P1283,P1040,3,1.386294
P1283,P1981,2,1.098612
P1283,P1754,18,2.944439
P1283,P1811,2,1.098612
P1283,P175,9,2.302585
P1283,P166,3,1.386294
P1283,P138,2,1.098612
P1283,P162,11,2.484907
P1283,P1269,9,2.302585
P1283,P31,1647,7.407318
P1283,P360,1581,7.366445
P1283,P407,2,1.098612
P1283,P272,9,2.302585
P1283,P344,4,1.609438
P1283,P364,48,3.891820
P1283,P437,11,2.484907
P1283,P462,24,3.218876
P1283,P2684,4,1.609438
P1283,P449,3,1.386294
P1283,P2354,5,1.791759
P1283,P361,10,2.397895
P1283,P2554,2,1.098612
P1283,P3301,2,1.098612
P1283,P2515,2,1.098612
P1283,P3803,5,1.791759
P1283,P910,17,2.890372
P1283,P921,1518,7.325808
P1283,P5008,10,2.397895
P1283,P57,41,3.737670
P1283,P58,20,3.044522
P1283,P86,15,2.772589
P1283,P495,59,4.094345
P1283,P750,13,2.639057
P1283,P840,8,2.197225
P1283,P915,3,1.386294
P1283,P5021,2,1.098612
P1283,P527,17,2.890372
P1283,P5126,3,1.386294
P1283,P6452,2,1.098612
P12895,P123,3,1.386294
P12895,P127,5,1.791759
P12895,P137,5,1.791759
P12895,P1056,4,1.609438
P12895,P1343,8,2.197225
P12895,P1889,3,1.386294
P12895,P126,4,1.609438
P12895,P112,3,1.386294
P12895,P20,3,1.386294
P12895,P21,21,3.091042
P12895,P106,21,3.091042
P12895,P166,13,2.639057
P12895,P17,12,2.564949
P12895,P101,5,1.791759
P12895,P170,2,1.098612
P12895,P1416,3,1.386294
P12895,P159,2,1.098612
P12895,P131,3,1.386294
P12895,P19,3,1.386294
P12895,P1412,10,2.397895
P12895,P108,5,1.791759
P12895,P31,41,3.737670
P12895,P407,8,2.197225
P12895,P495,3,1.386294
P12895,P527,2,1.098612
P12895,P463,14,2.708050
P12895,P2650,3,1.386294
P12895,P2670,2,1.098612
P12895,P5008,16,2.833213
P12895,P355,2,1.098612
P12895,P361,4,1.609438
P12895,P2936,5,1.791759
P12895,P27,16,2.833213
P12895,P69,8,2.197225
P12895,P734,16,2.833213
P12895,P735,17,2.890372
P12895,P512,2,1.098612
P12895,P39,3,1.386294
P12895,P275,2,1.098612
P12895,P800,3,1.386294
P12895,P921,5,1.791759
P12895,P8324,3,1.386294
P129,P31,4213,8.346168
P129,P129,3592,8.186743
P129,P279,2641,7.879291
P129,P646,2165,7.680637
P129,P703,2111,7.655391
P129,P231,2042,7.622175
P129,P2067,2038,7.620215
P129,P274,2036,7.619233
P129,P662,2028,7.615298
P129,P592,2026,7.614312
P129,P235,2026,7.614312
P129,P661,2021,7.611842
P129,P233,2019,7.610853
P129,P234,2017,7.609862
P129,P2877,2014,7.608374
P129,P11199,2009,7.605890
P129,P361,1996,7.599401
P129,P652,1965,7.583756
P129,P3117,1946,7.574045
P129,P11089,1909,7.554859
P129,P527,1906,7.553287
P129,P6366,1837,7.516433
P129,P595,1796,7.493874
P129,P702,1723,7.452402
P129,P8494,1712,7.446001
P129,P352,1709,7.444249
P129,P680,1702,7.440147
P129,P681,1686,7.430707
P129,P682,1681,7.427739
P129,P637,1678,7.425954
P129,P683,1669,7.420579
P129,P705,1648,7.407924
P129,P373,1628,7.395722
P129,P117,1552,7.347944
P129,P486,1537,7.338238
P129,P715,1511,7.321189
P129,P638,1329,7.192934
P129,P2892,1303,7.173192
P129,P665,1232,7.117206
P129,P2566,1215,7.103322
P129,P232,1210,7.099202
P129,P2868,1205,7.095064
P129,P2057,1128,7.029088
P129,P672,1071,6.977281
P129,P10283,1059,6.966024
P129,P3345,1052,6.959399
P129,P366,1022,6.930495
P129,P1579,970,6.878326
P129,P2017,914,6.818924
P129,P11198,883,6.784457
P1202,P138,9,2.302585
P1202,P1343,17,2.890372
P1202,P1424,3,1.386294
P1202,P1889,16,2.833213
P1202,P17,7,2.079442
P1202,P1382,2,1.098612
P1202,P1535,10,2.397895
P1202,P166,2,1.098612
P1202,P186,3,1.386294
P1202,P1269,4,1.609438
P1202,P176,136,4.919981
P1202,P178,21,3.091042
P1202,P1365,5,1.791759
P1202,P137,65,4.189655
P1202,P1427,4,1.609438
P1202,P155,4,1.609438
P1202,P156,4,1.609438
P1202,P1876,2,1.098612
P1202,P1056,5,1.791759
P1202,P144,2,1.098612
P1202,P179,3,1.386294
P1202,P910,19,2.995732
P1202,P9192,2,1.098612
P1202,P8329,62,4.143135
P1202,P859,12,2.564949
P12933,P31,133,4.897840
P12933,P137,17,2.890372
P12933,P155,21,3.091042
P12933,P156,21,3.091042
P12933,P361,18,2.944439
P12933,P921,21,3.091042
P12933,P1269,117,4.770685
P12933,P6104,116,4.762174
P12933,P6563,4,1.609438
P12933,P5008,7,2.079442
P12949,P1343,19,2.995732
P12949,P527,2,1.098612
P12878,P136,112,4.727388
P12878,P1434,107,4.682131
P12878,P123,77,4.356709
P12878,P162,28,3.367296
P12878,P1411,33,3.526361
P12878,P1433,19,2.995732
P12878,P155,78,4.369448
P12878,P156,58,4.077537
P12878,P1040,12,2.564949
P12878,P1552,24,3.218876
P12878,P161,17,2.890372
P12878,P1431,6,1.945910
P12878,P138,16,2.833213
P12878,P1032,3,1.386294
P12878,P1343,5,1.791759
P12878,P144,29,3.401197
P12878,P1547,2,1.098612
P12878,P110,2,1.098612
P12878,P13773,2,1.098612
P12878,P1889,20,3.044522
P12878,P2354,3,1.386294
P12878,P175,5,1.791759
P12878,P179,139,4.941642
P12878,P272,22,3.135494
P12878,P1657,7,2.079442
P12878,P1981,10,2.397895
P12878,P2061,10,2.397895
P12878,P2079,2,1.098612
P12878,P2363,6,1.945910
P12878,P2684,10,2.397895
P12878,P166,17,2.890372
P12878,P195,2,1.098612
P12878,P2408,19,2.995732
P12878,P2515,3,1.386294
P12878,P2554,5,1.791759
P12878,P2747,6,1.945910
P12878,P2756,3,1.386294
P12878,P178,65,4.189655
P12878,P275,26,3.295837
P12878,P180,11,2.484907
P12878,P1881,2,1.098612
P12878,P2283,16,2.833213
P12878,P2629,5,1.791759
P12878,P2360,2,1.098612
P12878,P2637,2,1.098612
P12878,P400,78,4.369448
P12878,P404,69,4.248495
P12878,P407,78,4.369448
P12878,P437,86,4.465908
P12878,P31,175,5.170484
P12878,P306,8,2.197225
P12878,P406,15,2.772589
P12878,P408,47,3.871201
P12878,P3156,16,2.833213
P12878,P3216,5,1.791759
P12878,P4151,10,2.397895
P12878,P287,8,2.197225
P12878,P344,18,2.944439
P12878,P364,71,4.276666
P12878,P2758,9,2.302585
P12878,P361,18,2.944439
P12878,P3402,5,1.791759
P12878,P3650,3,1.386294
P12878,P3834,2,1.098612
P12878,P3095,2,1.098612
P12878,P3080,2,1.098612
P12878,P449,29,3.401197
P12878,P3931,4,1.609438
P12878,P291,2,1.098612
P12878,P3306,3,1.386294
P12878,P57,66,4.204693
P12878,P58,55,4.025352
P12878,P674,71,4.276666
P12878,P6216,33,3.526361
P12878,P7327,23,3.178054
P12878,P479,46,3.850148
P12878,P495,125,4.836282
P12878,P655,5,1.791759
P12878,P725,38,3.663562
P12878,P527,12,2.564949
P12878,P462,24,3.218876
P12878,P5021,11,2.484907
P12878,P5970,6,1.945910
P12878,P4969,9,2.302585
P12878,P50,10,2.397895
P12878,P4908,52,3.970292
P12878,P641,2,1.098612
P12878,P5196,4,1.609438
P12878,P629,2,1.098612
P12878,P736,2,1.098612
P12878,P6195,2,1.098612
P12878,P5150,3,1.386294
P12878,P5201,4,1.609438
P12878,P910,9,2.302585
P12878,P86,36,3.610918
P12878,P750,87,4.477337
P12878,P921,15,2.772589
P12878,P7937,7,2.079442
P12878,P8345,38,3.663562
P12878,P8874,2,1.098612
P12878,P840,68,4.234107
P12878,P915,9,2.302585
P12878,P8411,21,3.091042
P12878,P852,48,3.891820
P12878,P908,41,3.737670
P12878,P914,29,3.401197
P12878,P853,19,2.995732
P12878,P7573,6,1.945910
P12878,P9215,8,2.197225
P12878,P8956,20,3.044522
P12878,P9028,3,1.386294
P12878,P8371,3,1.386294
P12878,P747,3,1.386294
P12878,P793,2,1.098612
P12878,P7936,7,2.079442
P12878,P916,6,1.945910
P12878,P8646,6,1.945910
P12878,P8670,2,1.098612
P12878,P8889,3,1.386294
P12878,P942,3,1.386294
P12878,P9866,8,2.197225
P12878,P9897,3,1.386294
P12878,P9895,2,1.098612
P12969,P19,69,4.248495
P12969,P21,150,5.017280
P12969,P106,152,5.030438
P12969,P166,19,2.995732
P12969,P1412,82,4.418841
P12969,P1196,8,2.197225
P12969,P1343,5,1.791759
P12969,P20,9,2.302585
P12969,P101,43,3.784190
P12969,P108,37,3.637586
P12969,P140,3,1.386294
P12969,P184,6,1.945910
P12969,P103,7,2.079442
P12969,P136,3,1.386294
P12969,P1411,2,1.098612
P12969,P1424,3,1.386294
P12969,P22,3,1.386294
P12969,P1889,9,2.302585
P12969,P1853,2,1.098612
P12969,P119,2,1.098612
P12969,P185,2,1.098612
P12969,P1344,3,1.386294
P12969,P1327,2,1.098612
P12969,P26,8,2.197225
P12969,P27,123,4.820282
P12969,P31,158,5.068904
P12969,P734,110,4.709530
P12969,P735,135,4.912655
P12969,P5008,8,2.197225
P12969,P509,8,2.197225
P12969,P69,49,3.912023
P12969,P6104,3,1.386294
P12969,P551,11,2.484907
P12969,P6275,3,1.386294
P12969,P6379,3,1.386294
P12969,P737,2,1.098612
P12969,P361,3,1.386294
P12969,P6886,3,1.386294
P12969,P463,2,1.098612
P12969,P3373,3,1.386294
P12969,P25,3,1.386294
P12969,P241,3,1.386294
P12969,P39,2,1.098612
P12969,P800,38,3.663562
P12969,P910,7,2.079442
P12969,P937,6,1.945910
P12969,P7763,11,2.484907
P12992,P279,40,3.713572
P12992,P1343,18,2.944439
P12992,P1889,28,3.367296
P12992,P17,4,1.609438
P12992,P1001,3,1.386294
P12992,P1424,5,1.791759
P12992,P2354,4,1.609438
P12992,P1382,7,2.079442
P12992,P1535,3,1.386294
P12992,P1830,2,1.098612
P12992,P1344,4,1.609438
P12992,P1552,9,2.302585
P12992,P2283,3,1.386294
P12992,P263,3,1.386294
P12992,P1308,3,1.386294
P12992,P2737,2,1.098612
P12992,P1269,2,1.098612
P12992,P31,37,3.637586
P12992,P361,11,2.484907
P12992,P366,2,1.098612
P12992,P461,9,2.302585
P12992,P910,23,3.178054
P12992,P5008,9,2.302585
P12992,P460,8,2.197225
P12992,P425,9,2.302585
P12992,P4968,2,1.098612
P12992,P6186,3,1.386294
P12992,P92,4,1.609438
P12992,P3729,2,1.098612
P12992,P3730,2,1.098612
P12992,P527,4,1.609438
P12992,P828,3,1.386294
P12992,P793,2,1.098612
P1299,P31,29494,10.291976
P1299,P180,28039,10.241387
P1299,P276,23830,10.078743
P1299,P170,23574,10.067942
P1299,P195,22289,10.011893
P1299,P18,21434,9.972780
P1299,P571,21150,9.959442
P1299,P921,21134,9.958686
P1299,P136,21028,9.953658
P1299,P186,20623,9.934211
P1299,P6216,18775,9.840335
P1299,P2048,18197,9.809067
P1299,P217,18104,9.803943
P1299,P2049,17993,9.797794
P1299,P1476,17592,9.775256
P1299,P1679,7176,8.878637
P1299,P973,7119,8.870663
P1299,P17,7055,8.861634
P1299,P373,5750,8.657129
P1299,P131,4992,8.515792
P1299,P528,2621,7.871693
P1299,P4373,2396,7.781973
P1299,P547,2377,7.774015
P1299,P1071,2230,7.710205
P1299,P350,2188,7.691200
P1299,P625,2161,7.678789
P1299,P6108,2055,7.628518
P1299,P495,1675,7.424165
P1299,P1257,1592,7.373374
P1299,P127,1575,7.362645
P1299,P577,1552,7.347944
P1299,P9144,1519,7.326466
P1299,P2671,1353,7.210818
P1299,P1684,1284,7.158514
P1299,P608,1281,7.156177
P1299,P1343,1266,7.144407
P1299,P7847,1249,7.130899
P1299,P646,1002,6.910751
P1299,P361,966,6.874198
P1299,P2539,956,6.863803
P1299,P7420,885,6.786717
P1299,P1639,866,6.765039
P1299,P2079,854,6.751101
P1299,P138,851,6.747587
P1299,P4701,809,6.697034
P1299,P5008,785,6.666957
P1299,P407,774,6.652863
P1299,P1184,741,6.609349
P1299,P13172,737,6.603944
P1299,P347,734,6.599870
P12993,P1343,21,3.091042
P12993,P1056,2,1.098612
P12993,P1889,28,3.367296
P12993,P1382,4,1.609438
P12993,P1424,8,2.197225
P12993,P1269,3,1.386294
P12993,P1552,6,1.945910
P12993,P1299,3,1.386294
P12993,P2283,10,2.397895
P12993,P2354,7,2.079442
P12993,P17,8,2.197225
P12993,P263,5,1.791759
P12993,P1001,6,1.945910
P12993,P1308,4,1.609438
P12993,P2098,2,1.098612
P12993,P2389,4,1.609438
P12993,P1344,2,1.098612
P12993,P138,2,1.098612
P12993,P31,51,3.951244
P12993,P279,54,4.007333
P12993,P425,22,3.135494
P12993,P910,33,3.526361
P12993,P5008,12,2.564949
P12993,P6186,9,2.302585
P12993,P417,3,1.386294
P12993,P460,10,2.397895
P12993,P3828,2,1.098612
P12993,P6104,2,1.098612
P12993,P461,9,2.302585
P12993,P527,6,1.945910
P12993,P361,13,2.639057
P12993,P4968,3,1.386294
P12993,P641,4,1.609438
P12993,P828,3,1.386294
P12993,P748,5,1.791759
P12993,P3712,2,1.098612
P1302,P31,5287,8.573195
P1302,P17,5284,8.572628
P1302,P131,5270,8.569975
P1302,P625,5263,8.568646
P1302,P646,5054,8.528133
P1302,P1082,5036,8.524566
P1302,P1566,5026,8.522579
P1302,P373,4727,8.461258
P1302,P421,4668,8.448700
P1302,P18,4595,8.432942
P1302,P856,4519,8.416267
P1302,P2046,4502,8.412499
P1302,P910,4465,8.404248
P1302,P1448,4082,8.314587
P1302,P281,4045,8.305484
P1302,P242,4025,8.300529
P1302,P2326,3928,8.276140
P1302,P402,3747,8.228978
P1302,P214,3735,8.225771
P1302,P6766,3447,8.145550
P1302,P13591,3071,8.030084
P1302,P244,2899,7.972466
P1302,P8189,2898,7.972121
P1302,P1792,2645,7.880804
P1302,P150,2445,7.802209
P1302,P1464,2383,7.776535
P1302,P473,2245,7.716906
P1302,P442,2244,7.716461
P1302,P13971,2201,7.697121
P1302,P2044,2182,7.688455
P1302,P1705,2173,7.684324
P1302,P982,1955,7.578657
P1302,P948,1883,7.541152
P1302,P190,1831,7.513164
P1302,P10565,1815,7.504392
P1302,P47,1760,7.473637
P1302,P10832,1703,7.440734
P1302,P1937,1661,7.415777
P1302,P94,1659,7.414573
P1302,P7471,1657,7.413367
P1302,P227,1633,7.398786
P1302,P571,1571,7.360104
P1302,P395,1499,7.313220
P1302,P3417,1433,7.268223
P1302,P1376,1432,7.267525
P1302,P2163,1399,7.244228
P1302,P41,1380,7.230563
P1302,P8168,1343,7.203406
P1302,P1343,1318,7.184629
P1302,P1417,1293,7.165493
P1290,P101,144,4.976734
P1290,P102,67,4.219508
P1290,P103,271,5.605802
P1290,P106,1037,6.945051
P1290,P119,614,6.421622
P1290,P1038,230,5.442418
P1290,P1050,84,4.442651
P1290,P1142,10,2.397895
P1290,P1299,208,5.342334
P1290,P1343,564,6.336826
P1290,P1344,105,4.663439
P1290,P1066,68,4.234107
P1290,P1196,268,5.594711
P1290,P1290,158,5.068904
P1290,P1327,19,2.995732
P1290,P1340,63,4.158883
P1290,P1035,6,1.945910
P1290,P1303,51,3.951244
P1290,P10527,40,3.713572
P1290,P1283,18,2.944439
P1290,P108,118,4.779123
P1290,P1026,2,1.098612
P1290,P11146,3,1.386294
P1290,P10606,2,1.098612
P1290,P12439,4,1.609438
P1290,P140,455,6.122493
P1290,P166,661,6.495266
P1290,P1399,5,1.791759
P1290,P1411,57,4.060443
P1290,P1412,944,6.851185
P1290,P1424,28,3.367296
P1290,P1429,2,1.098612
P1290,P1441,33,3.526361
P1290,P1576,13,2.639057
P1290,P1598,23,3.178054
P1290,P1830,127,4.852030
P1290,P136,71,4.276666
P1290,P135,22,3.135494
P1290,P1455,10,2.397895
P1290,P1532,16,2.833213
P1290,P138,33,3.526361
P1290,P172,19,2.995732
P1290,P1416,8,2.197225
P1290,P157,10,2.397895
P1290,P1365,7,2.079442
P1290,P1366,5,1.791759
P1290,P1546,4,1.609438
P1290,P170,6,1.945910
P1290,P175,17,2.890372
P1290,P159,6,1.945910
P1290,P19,1026,6.934397
P1290,P20,807,6.694562
P1290,P21,1183,7.076654
P1290,P22,906,6.810142
P1290,P25,829,6.721426
P1290,P26,837,6.731018
P1290,P27,1055,6.962243
P1290,P31,1212,7.100852
