pattern	expected	observed	surplus	deficit
anti_symmetric	5000	4970.75136654	0	29.2486334585
composition	5000	11216.9339653	6216.93396534	0
inverse	5000	4824.21749892	0	175.782501082
symmetric	5000	3621.0971692	0	1378.9028308
