cap	status	acceptance_classification	auxiliary_edges_selected	canonical_edges_removed	canonical_surplus_delta	canonical_deficit_delta	full_graph_weak_components	canonical_only_weak_components	full_graph_triples	canonical_only_triples	auxiliary_relation_count	p17_auxiliary_count	p17_share	graph_sha256	auxiliary_edges_sha256	removed_edges_sha256
10	passed_policy	c5_h2_candidate_passed_policy	10	10	-10.0	0.0	1	9	24683	24673	8	3	0.3	70bab2fafdfb6a3c167d86227253e0395798677df665842c9700f340678e9186	f75ad05525b23c1169317fed0950d14e1ab7c095ed90422d260310b5a6e876d6	50a2519c7dbb047b041660378c59734562bd295a1280e147ce14ec9d5afc6051
25	passed_policy	c5_h2_candidate_passed_policy	25	25	-25.0	0.0	1	24	24683	24658	11	14	0.56	f835dc6485fc5e3d8037da5d46791956b2cc9e059c6ae2a055ff8bfd23c4c636	e6f2cb4ef90413a22824d36ff522ce440c2ae954aaf3eae2af061d746ca12df5	86e21cfdbb57c5ee781ac684bcbf57685d118ec74f89cbd26c4d1fe5c9289bbc
50	passed_policy	c5_h2_candidate_passed_policy	50	50	-50.0	0.0	1	49	24683	24633	11	39	0.78	91f221e96401bf61eb449ca46467742d809d5589554b770fe9455a5de3d53480	e6d279a69978539b17474451e02692a5643a51a431d31f2930eaf30c34ff9eed	d6737cdd147dbda67482a8aa148486bfcaee54c8e5868cf3a058eb3838de6b11
100	passed_policy	c5_h2_candidate_passed_policy	100	100	-100.0	0.0	1	99	24683	24583	17	79	0.79	b3baaf6f2b2a367b1f7b0303b42994b100b648655b5630500d97d88636784e15	dfae9aca32b4cfb98d68c2dcdab0b5a7ae74bf9534b9230115107fd58909f0db	07b55fd27780d61bc015fbc23df1e2da5b10574793a8c001a2315eab62ea611a
151	passed_policy	c5_h2_candidate_passed_policy	151	151	-151.0	0.0	1	149	24683	24532	27	89	0.5894039735099338	66dedc8a14b4d4f8b561d81fc6abd6910a2aea45c27b4e9917a3411ce2fe1ae9	bc6677eb3ea47b7a69020c821641219d07ecc26567ab62dac3707e485cbedb44	bb00c9b618949c4377ba1e0ea73e6c724ea8540a502bb310d861f5fbd0a935d7
